event_id,name
1728205167392156,GẶP GỠ CUỐI NĂM VỚI TRĂNG NON
855071091220515,CÙNG NXD CHIA SẼ VIDEO BẢO VỆ ĐATN XD ĐH.KIẾN TRÚC TP.HCM-Làm Đồ Án Xây Dựng Thuê -Nhận Làm Đồ Án Tốt Nghiệp Xây Dựng Dân Dụng Thuê
1036612783035948,Giải tennis Đại học kinh tế TPHCM niên khoá 2007-2011 mở rộng
1813491758875082,Sinh Nhật Thầy Gioan Baotixita Lê Đình Cơ
407571132769856,CLB Tiếng Nhật Lần 6
427770110749644,LỄ HỘI ĐỒNG HƯƠNG PHÚ YÊN CHÀO NĂM MỚI 2016
742380505895733,WORKSHOP RUN MORE RUN
931978370186855,[HCM] GITA 11/2015 | Building Sales Incentive Scheme
1643243845945814,[HCM] REDI 05/12/2015 | Delivering Happiness (book reading)
1520387614946767,FIT FOR SCRUM course in HCM City - Dec 2015
822077791243799,TEAM COVER TFBOYS HCM CITY
1051599734892435,Electric Power in HCM City - Current Status and Future Outlook
1595718864010301,OFFLINE PARTY HPBD TO JACKSON YI ( HCM City ) - 95.000đ/vé
483455978483118,Mini Free Card Birthday D.O. & KaiSoo Day In HCM
917775454980540,W&W @ Hypersonic in Ho Chi Minh City, Vietnam
426286864233621,Gặp gỡ giáo sư Liu, Day Yang - giáo sư đỡ đầu của VSA NTUST và các giáo sư NTUST tại TP HCM
1207592255933943,QS World Grad School Tour in HCM city
644598465643953,Chào mừng kỉ niệm 5 năm ngày thành lập Cộng đồng Dịch giả trẻ (13/11/2010-13/11/2015)
1653917291543568,Sắp khai trương showroom thứ 21 TutiCare Phan Đăng Lưu,HCM
762028467236161,Sắp khai trương showroom thứ 21 TutiCare Phan Đăng Lưu,HCM
439107936255724,Khang Anh COMPUTER Thông Báo CẦN TUYỂN GẤP 4 NAM/NỮ NHÂN VIÊN KINH DOANH CAMERA QUAN SÁT (ƯU TIÊN NỮ) LƯƠNG CAO Tại TP. HCM
165164663837984,LỄ MỞ BÁN CĂN HỘ CAO CẤP LUXCITY 22/11/2015
1717523641810371,TED SAIGON TRI ÂN THẦY CÔ NHÂN NGÀY NHÀ GIÁO VIỆT NAM 20-11
1653871418226721,Estiva @ Queen Hall in Ho Chi Minh City, Vietnam
725340260922835,"Lễ trao giải cuộc thi ""Viết về mẹ"" - Phụ Nữ Ngày Nay"
