user_id,attend,maybe,declined
791399697652317,,,545198285638570
1664527597156326,,,905008766246226
10208337705304179,,,311755245655422
1289604761104979,,,545198285638570
10206680792611845,,,892649937474491
1066787606694495,,,482838738558603
855043044609405,,,905008766246226
1526644540989531,,,822077791243799
1654813441454952,,,372325806279445
1503990543229858,,,1595718864010301
10153426085043051,,,156832861335620
497066413808156,,,423717384415158
520645338097400,,,372325806279445
1704984119731514,465988266906746 587786681361995 975449605847497,,1516517512002547
453940881457708,,,1623749834542763
627583127382123,533717493449855 587786681361995,553707154776476,157307111289538
907405789342205,,1672166549701268,1647507122170549
10208115598318154,905008766246226 1623749834542763,1300065630019579 503234193169664,311755245655422
937344172979958,2147949678679083,,947821865304797 587786681361995 1717752625120818
557569141086332,,,942502089120677
10153501985341130,1633057173615681 426995257494915 1635747950032736 595595830581398,1514772282153569 934528249967335 406829072835666 494764264037412 148966468795177,311755245655422
1513151722315342,,,905008766246226
10156394340870724,,,922971211103579
1652368811696515,,,905008766246226
646750432133627,,,983628185032105
416336888557579,,,725340260922835
897924210276836,,,1495218810806969
10204341214724161,,,832878440162138
10208024989532799,,,735077243302720 1632599073621622 1621257701440717 311755245655422 736854409753137
178176419195180,,,1695189700704438
537984703034806,,,482838738558603
977844913968,398686067005910,,436888249849609 311755245655422 545198285638570
903941129701256,,,1647507122170549
1681593255395454,,,1607843346160408
535580719951977,,,372325806279445
1203194909708245,,,185119101830875
1676596892618753,,,1560166957556972
10206023412771238,,,1100199796676321
728072260670357,905008766246226,,1736114333285649
10207230332129341,,,595595830581398
1518764708434060,,,905008766246226
546787278820080,,,1481083745533238
10154457081699478,,,1632599073621622
922925757794046,,,1648052285418189 608762552594198
10205349023346592,,,736854409753137
1954629041429279,,,905008766246226
1175337852491316,,,1525581344429548
10206348906695768,,,311755245655422
497965990375930,,,587786681361995
1498897027107560,,,413613492176268
493846234131467,,,905008766246226
536264589865600,1653481344921139,,499879156840400
10205433985074623,,,892649937474491
450283195162951,,,311755245655422
510515195777165,,,904360302946503
1653289708276193,,,825881260800727
1509864362675705,,,1024496687595216
10153735569447068,,,892649937474491
189289648080490,,,905008766246226
1526488364328558,,,608762552594198
535833819926941,1676855795934448,,874334249323234
10153754779628665,,,623228254478204
147423852284930,,,905008766246226
1159570740723127,,,1632599073621622
10153320282302712,,,361826890689198
1062215643809636,,,311755245655422
10208396159600417,,,1591204524467956
10153158416535474,199849900347668,1635747950032736 519090021584170,735077243302720 736854409753137 423717384415158
10105679761529180,,1517636418547610,905008766246226
761116607365142,,,372325806279445
995132400525950,,,1628495450764448
949155408497516,,,905008766246226
1014982415240358,,,1643381175903642
730823493684155,1514772282153569 1006657816062381 553707154776476 1647507122170549,,1035314519836199 406829072835666 857622540975972
943349855731809,,,1650760668536515
749412628525193,874835075904840 785083881617402 796359963823801 736854409753137,,825881260800727
774927652652547,,,608762552594198
575960002557460,347861952089823 509992435843792 587786681361995,157307111289538,1514772282153569
706801556116949,,,942502089120677
608413329296942,,,311755245655422
806624229447236,,,415560751901803
10201010551983752,,,423717384415158
1539976006293032,,,1181828128499301
1048424568535518,,,455637751283813
1053399958043565,424468137738057 1708970406004977 519090021584170,426995257494915 522359454596124 738555442944145 934528249967335,1728490300705380
520824621410556,,,311755245655422
10205317116707194,,,1465104253792971
10206745828461674,,,736854409753137
1659758000938486,,,874334249323234
746002265529774,,,736854409753137
1249520965063827,,,1648052285418189 608762552594198
576998589115730,,,1510567955909044
842065662577457,,,825881260800727
1713638722199579,,,372325806279445
760632284042542,,,361826890689198
195919374077598,,,608762552594198
1525941487725466,,,403409569850856
10153770264669419,,,311755245655422
1667533426846984,,427770110749644,197038423962760
902042606552306,,,738555442944145
1633584376894198,,,410271959178819
696831537119922,,,905008766246226
174453106237872,,,499879156840400
1656686194570663,,,1653481344921139
1524201727898456,,,631265380347638
1706874936211563,,,311755245655422
10204625554273327,,,1695189700704438
1687794558124807,,,893606694056340
1005277472828794,,,905008766246226
986367818086627,,,1640326062879659
1674458922812892,,,311755245655422
185863565090663,527385800759438,,1043281959036382
10206645671073986,,,311755245655422
918741718180888,,,736854409753137
562365843917341,,,184997641682726
609580452515970,,,892649937474491
907973435954128,2147949678679083 587786681361995 511804775649731,617788491694733,1632599073621622
1670306439904273,,,1607843346160408
205728256428391,,,886099961445115
1668417183438386,,,372325806279445
1018053461593867,,,905008766246226 1006657816062381
754175981348933,,,1653481344921139
692747810861158,,,905008766246226
10153178648077021,,,311755245655422
628741817268423,,,942502089120677
859627430818449,,,1749003568652441
558279117662622,,,1481083745533238 189292908073143
170781716606637,,,905008766246226
543578125801187,,,1484609308508052
146991535659401,,,905008766246226
516599775165425,,1094343180578474,1595718864010301
1732223460332842,,,499879156840400
763649553781414,,,191603491180441
1701840860039849,542668749205988,,1653481344921139
928505607243864,,,905008766246226
204738196525280,,,499879156840400
1661181124121571,,,372325806279445
1523230534668282,,,429444030594966
965728163494906,,,1185739131454038
638833702926016,,,857622540975972
572547609568699,,,843714479079121
10153290258726519,541361516018697 1675390636081561 703513213082071 985219994862772 411662922360897,665950596841543 1638603683071537 1521719851485619 1517636418547610 398686067005910 528961267266179 494764264037412 863818937066030 617788491694733 148966468795177 1162044413810114,735077243302720 1632599073621622 311755245655422
688669794603075,,,423717384415158
1531062643872472,,,427989960731914
1009444472439647,,,380347925486339
1007299835978076,,,719368461526737
540773132743996,,,1017645984963730
1650845015192904,,,921247657930940
553121208188729,,,1640326062879659
10203991094892649,489393957905197 995025613883488 1035314519836199,,886099961445115
1082691068408936,,,892649937474491
10204183209219345,,,1591204524467956
10206936751429634,489692841197214,,857622540975972
10153116327326356,,,1621257701440717
1002647389756783,,,192475747754735
497623353752361,,,311755245655422
1062579150419589,,,892649937474491
708762912558141,,,427770110749644
10153862339963729,,931755086907392,1632599073621622 156832861335620 922971211103579 921743211214812
550656145089624,1521719851485619,,1632599073621622
1642543339349109,406829072835666,,905008766246226
10208597669447855,,,1519010425083454
766265586850618,,,311755245655422
1689910684565281,,,1516517512002547 1647507122170549
1184965121532061,553707154776476 1647507122170549,311755245655422,482838738558603
1713246708905995,,,505404526303554
1652150328372984,,,1653481344921139
1058394504193314,,,117378128624899
207279079605153,,,1595718864010301
1210946358921687,1658388237753858,665950596841543,1632599073621622
1657007627908703,,,1495643027398937
705506759586255,,,905008766246226
457224117796080,,,897885713633701
495269613985525,,,874334249323234
198843490449744,905008766246226 1708970406004977 795999260515174,553707154776476,471379523018564
639192446224059,,,1659631944249503
10153642663326140,,,886099961445115
10153355858218095,1633057173615681 874835075904840 665950596841543 1024404200913038 311755245655422 141783372845728 180347198968408 736854409753137 632343673535086,1521068511540029 758846707577663 1162044413810114,1621257701440717 482838738558603
10153037514871065,,,1477651862560133
876206202495563,,,825881260800727
1058400860859320,,,800361323357823
10203827732174190,,,423717384415158
1921822091376208,553707154776476 1647507122170549,1650760668536515 905008766246226 587786681361995,1507447266249110
1829065087320272,,,905008766246226
1523481607967576,,,1640326062879659
741419514468,,,311755245655422
838720006248228,905008766246226,,455637751283813
482358638602734,,,1663023173954359
564420197043744,,,1709634665938326
10208376454194983,,,736854409753137
10153158447547595,,,311755245655422
1669395493278514,,,905008766246226
10153161375367539,,,1632599073621622 311755245655422
1746888618868311,,,1595718864010301
419362264935437,,,905008766246226
1159877840708027,1672166549701268 1647507122170549,,505817212923414
1081671625184704,,,157307111289538
1563954587219030,,,1629089714006339 975449605847497
10156234629190290,,,311755245655422
1029967353693050,,,922971211103579
529059447254608,,,608762552594198
10102054411250248,,,311755245655422
1657545904495047,405987992930610 1483723631934208 1162044413810114,,905008766246226
546684285490069,,,1640326062879659
932577653484568,587786681361995 874334249323234,511804775649731,1647507122170549
637786193028458,,,189292908073143
10153414251658710,,,423717384415158
10203497485557051,,,542668749205988
10206939163774240,,,311755245655422
945591152175243,,,739791859460625
1724898107741134,,,904360302946503
1627461744175063,,,406829072835666
1685549345024391,,,527385800759438
203749129957916,1483723631934208,,825881260800727 905008766246226
794684597324361,,,344774822319519
881656388622503,,,545198285638570
555082777990873,,,905008766246226
946756762072339,,,423717384415158
1649763438644468,,,874334249323234
1686608301560671,,,905008766246226
1525584874418420,,,587786681361995
10153146436961389,,,494764264037412
1214592548557177,,,1477651862560133
10153582470709713,,,311755245655422
10153073683861567,995025613883488,1483723631934208,1632599073621622 311755245655422 545198285638570
1690511604516516,,,608762552594198
10207145069761303,,,785083881617402 141783372845728
10153804091618420,,,1591204524467956
1099559633396885,,,380347925486339
1647448518859405,,,372325806279445
554707668016839,,,905008766246226
1705916919630210,,,677952745575695
10153083837231891,,,1632599073621622 141783372845728 1660504720886715 398686067005910
1733200290242996,424468137738057 2147949678679083 934528249967335 1672166549701268 1516517512002547 1643381175903642 867754930012766 465988266906746 1634811676806312 1035314519836199 406829072835666 587786681361995 197038423962760 1245920382101712 874334249323234 1516028465387070 910059795737600 1647507122170549,,905008766246226 631265380347638
737309269702584,406829072835666,,1672166549701268
765213543611826,,,1647784098809527
1534142346908798,,,1058521250847143
664933530276968,,,1641671362774614
857343677697096,587786681361995 553707154776476,,527385800759438
10205513545214851,,,311755245655422
1530631287256924,,,1105684389456261
701686673301454,,,545198285638570
10203576700578270,1507447266249110,,311755245655422 545198285638570
