user_id,event_id,interested
10207607076556060,1521719851485619,0
524450221064924,311755245655422,0
1676527269298248,136941413335064,0
10153795628337720,1701251846786746,0
544592985698238,455637751283813,0
10203497341873459,1621257701440717,0
10153129727456126,863818937066030,0
10206983319015734,423555677848446,1
10206983319015734,199849900347668,1
10206983319015734,795999260515174,1
10203546841391931,1519010425083454,0
937344172979958,1717752625120818,0
10153129542452041,1621257701440717,0
424124447792129,905008766246226,0
10153501985341130,595595830581398,1
974667975905074,736854409753137,0
738859429592107,608762552594198,0
10208024989532799,311755245655422,0
959191870820310,311755245655422,0
977844913968,545198285638570,0
893077127466919,311755245655422,0
10204134349557765,311755245655422,0
1629674820617245,1647507122170549,1
512174032279320,587786681361995,1
920539458036332,608762552594198,0
1692326051004346,631265380347638,0
735351869943085,608762552594198,0
10153761667754919,617788491694733,0
10152846706134649,736854409753137,0
922925757794046,608762552594198,0
522594987909889,133798883645899,1
522594987909889,1637955923126632,1
522594987909889,890966060986998,1
522594987909889,1621002981483264,1
522594987909889,1181828128499301,1
868512706596937,587786681361995,0
442836755924897,1653992801547099,0
877789009001981,795999260515174,0
10156271989995383,482838738558603,0
562740553883529,157307111289538,0
891615060888196,995025613883488,0
1111361148915702,157307111289538,1
1111361148915702,117378128624899,0
974387170965,1642998415970980,0
1213768135305306,736854409753137,0
774231632703385,482838738558603,0
1089595587717248,423717384415158,0
10206762128864800,995025613883488,0
10153158416535474,423717384415158,0
10156234456300696,311755245655422,0
10152815809102824,800361323357823,0
1645456545692733,545198285638570,0
10153781770549511,311755245655422,0
1149473008416105,914116092001142,1
1149473008416105,1014810091916125,1
1149473008416105,909977732412511,1
1719800181573691,570911803060678,0
10153105612857251,311755245655422,0
10153656930796480,311755245655422,0
536009696558116,540286862788351,0
1673170546273768,1656401337951247,0
1249520965063827,608762552594198,0
718226098313153,1495643027398937,1
718226098313153,874334249323234,1
10207950455060695,796359963823801,1
10153244551967215,922971211103579,0
178521485828311,411662922360897,0
627108137429631,1659631944249503,0
567981623351795,311755245655422,0
1117900814888422,143844432640742,0
776556195790179,455637751283813,1
776556195790179,931978370186855,1
776556195790179,874334249323234,1
776556195790179,546487338833694,1
776556195790179,677952745575695,1
776556195790179,587786681361995,1
776556195790179,983628185032105,1
776556195790179,499879156840400,1
776556195790179,608762552594198,1
776556195790179,1048580948520263,1
776556195790179,471379523018564,1
776556195790179,1623749834542763,1
776556195790179,1483723631934208,1
776556195790179,857622540975972,1
776556195790179,736854409753137,1
10201373533095650,423717384415158,0
1077221945643204,494764264037412,0
1261637130520509,311755245655422,0
1525694667746277,795999260515174,0
1532528633728146,311755245655422,0
10153424471678640,736854409753137,0
1682493255329939,372325806279445,0
1671179196457614,1654035388177889,1
1671179196457614,1631223837143296,1
1671179196457614,1656401337951247,1
1671179196457614,117378128624899,1
1671179196457614,1708970406004977,1
1671179196457614,1722593361302843,1
1671179196457614,1648052285418189,1
1671179196457614,1162044413810114,1
1671179196457614,795999260515174,1
553507201469953,553707154776476,0
472821136241443,1521483178178527,0
10153131440986540,1647507122170549,1
1018053461593867,1006657816062381,0
1080787748638034,905008766246226,0
1671642196415578,1552412775048787,1
790184754461766,1659631944249503,0
558279117662622,189292908073143,0
1099430550068744,311755245655422,0
1101250899886092,311755245655422,0
1705130176383544,1094343180578474,0
454499471401049,311755245655422,0
175217329497192,1653992801547099,0
175217329497192,857622540975972,1
175217329497192,905008766246226,0
175217329497192,1649574428587670,0
175217329497192,1650760668536515,0
175217329497192,1519232068389259,1
175217329497192,551504168321268,1
175217329497192,587786681361995,1
175217329497192,608762552594198,1
175217329497192,528961267266179,1
175217329497192,1052922628086084,1
175217329497192,1722593361302843,1
175217329497192,919883004725577,1
10153290258726519,311755245655422,0
1058187400892253,545198285638570,0
10203560213684381,905008766246226,0
1114886908522808,1650607558527327,0
1072709392762224,975449605847497,1
1072709392762224,503234193169664,1
1072709392762224,1483723631934208,1
1072709392762224,985219994862772,1
1072709392762224,1674987226048875,1
10207855117632917,617788491694733,1
10153672944230256,423717384415158,0
429669707233021,455637751283813,0
1115084335168429,736854409753137,0
1042730572413908,455637751283813,0
10156286019800268,311755245655422,0
10153862339963729,922971211103579,0
878280842279064,545198285638570,0
1256510474374583,311755245655422,0
424248401108005,411662922360897,0
10153636766397419,528961267266179,1
1689910684565281,1647507122170549,0
1008840335849774,587786681361995,0
10103177959106362,736854409753137,0
1374234429257474,311755245655422,0
1374234429257474,1642998415970980,1
1374234429257474,482838738558603,1
1374234429257474,1300065630019579,1
1374234429257474,398686067005910,1
1374234429257474,692497527518304,1
1643982989190967,411662922360897,0
209694136030525,857622540975972,0
10206762274127121,311755245655422,0
10153355858218095,482838738558603,0
962339477172292,587786681361995,1
962339477172292,511804775649731,1
962339477172292,1004501272934293,1
962339477172292,1636419359964472,1
962339477172292,189292908073143,1
10153592816035218,482838738558603,0
10207305900461484,311755245655422,0
10153639284167850,736854409753137,1
551463498353011,157307111289538,1
10153384737463871,423717384415158,0
10153840317186424,2111249605680682,0
10153822442585712,736854409753137,0
10156511631565157,736854409753137,0
10153123074286916,736854409753137,0
10153161375367539,311755245655422,0
10103566361644504,736854409753137,0
10205080290115947,800361323357823,0
1659466684325632,455637751283813,0
10153112679906205,736854409753137,0
970992771012,311755245655422,0
10208157902130757,1521068511540029,0
1483798415260566,983628185032105,0
1563954587219030,975449605847497,0
