event_id,owner,start_time,place_id
1632599073621622,143962809064655,2015-10-23T19:30:00+0700,143962809064655
1519010425083454,1551587938464499,2015-11-28T16:00:00+0700,1437374359836898
1468796560095962,431119723736344,2015-11-06T20:00:00+0000,
1024404200913038,1481747458801223,2015-11-21T21:00:00+0700,884672811553550
1517238981930295,1582800581975955,2015-11-08T19:00:00+0700,
1006657816062381,563032753744738,2015-11-29T06:00:00+0700,544156325612502
181782878833227,835292073251791,2015-12-03T10:00:00+0700,
576649295807118,171448986212518,2015-10-22T13:00:00+0700,108458769184495
877417562306505,508372659342627,2015-12-02T00:00:00+0700,223806474368871
1334681039881631,386683241429935,2015-11-08T08:30:00+0700,
1041164115934282,212800888904630,2015-12-20T14:00:00+0700,
1488463164790626,983153258385121,2015-11-12T12:00:00+0700,1609541019315274
436004849930354,590593111048517,2015-12-02T17:30:00+0700,268387536637911
729294240471925,1690452494567962,2017-06-30T00:00:00+0700,112039852155607
947821865304797,372528302901234,2015-11-18T09:00:00+0700,
465988266906746,735267366532693,2015-11-29T07:30:00+0700,230288990428206
1654035388177889,125198310984118,2016-01-17T19:30:00+0700,186086438113504
506342142874538,149754588714823,2015-11-24T12:00:00+0700,496590227135861
197038423962760,296033980513743,2015-12-05T07:00:00+0700,406962065981560
1668763606671752,1268478759906338,2015-11-30T17:00:00+0700,
910529609036509,227957290575154,2015-11-29T09:30:00+0700,
1059089314115526,1056110321068369,2015-11-22T14:00:00+0700,337423376273783
1607843346160408,1179021038794278,2017-07-17T00:00:00+0700,433752176723033
927075350720723,666873386674756,2015-12-05T07:00:00+0700,666873386674756
1516517512002547,1108563469169659,2015-11-29T07:00:00+0700,150643144998194
1749003568652441,149754588714823,2015-11-30T07:00:00+0700,128758810585914
1645416069063738,1059810144063520,2015-11-19T09:00:00+0700,
1643527149195696,193826154289998,2015-12-01T09:00:00+0700,750225778350527
441028849432114,1432814160270699,2015-11-28T16:00:00+0700,108458769184495
1645651059017140,255009997956579,2015-12-03T17:30:00+0700,1575293096059517
475090992616222,1375150152705629,2015-12-10T09:00:00+0700,108458769184495
641561649280745,10203615074017783,2015-11-27T11:00:00+0700,1562513684030712
899315940118243,466120006879629,2015-11-26T17:00:00+0700,251653318220740
917721075007526,129673814065870,2015-11-20T00:00:00+0700,108458769184495
1052151534809365,144330962311641,2015-12-04T19:00:00+0700,
530966487077466,191663507832411,2015-11-27T18:00:00+1100,103696243001853
1673153072897440,10156269909015626,2016-03-06T14:00:00-0800,173877619310232
170397459977822,10201209100945829,2015-11-25T17:30:00+0700,430182417008717
929799053767763,1657380281208758,2015-11-29T08:00:00+0700,173700849325842
918811078168615,1032850006779608,2015-11-29T08:00:00+0700,
893606694056340,775251349288397,2015-11-20T08:00:00+0700,490272757677536
1733682646859766,168657583278097,2015-11-14T18:00:00+0700,406962065981560
931046223653785,1026101720746144,2015-11-27T18:00:00+0700,
944752558928290,1493713580959217,2015-11-29T09:00:00+0700,
913224282097618,666419776821496,2016-12-25T07:00:00+0700,460947700604260
994105733994799,113456572301,2015-11-11T08:00:00+0700,113456572301
467760970075640,168838346801544,2015-11-29T09:00:00+0700,
1669437033340250,182074638804408,2015-11-29T08:30:00+0700,
537888643030709,637268503079699,2015-12-19T09:00:00+0700,
1233042353454614,759849770756197,2015-11-18T08:00:00+0700,
1226313327396867,372528302901234,2015-11-13T18:00:00+0700,202805849768048
1212368625446112,524538074238532,2015-10-28T00:00:00+0700,524538074238532
991726190899697,1496368543992075,2015-12-01T07:00:00+0700,
1050129005007402,165919750409496,2015-11-29T13:00:00+0700,413116955422920
537514949731000,212637095470180,2015-11-27T20:00:00+0700,
423159877876048,437849319731580,2015-11-14T10:30:00+0700,
505632049618301,184593788558803,2015-11-09T18:00:00+0700,324716624349762
980751665296335,790645417689587,2015-12-11T07:30:00+0700,
743012149176424,1619734048309144,2015-11-15T10:00:00+0700,514367848684483
321142341389788,147221017532,2015-11-14T17:00:00+0700,
677952745575695,1457253097844155,2016-01-28T00:00:00-0800,1457253097844155
